,Player ID,Name,Last_Name,Team,Position,Cost_Today,Total Points,Form,Points/Game,xGi,xGc,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW1,GW2,GW3,GW4,GW5,GW6,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5,Initial Cost
10,12,Ethan,Nwaneri,Arsenal,MID,45,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,45
11,13,Martin,Ødegaard,Arsenal,MID,85,3,3,3,0.08,0.47,14.9,0,0,1,3,0,16,0,90,0,0,0,0,0,0,0,15,24,15,5.4,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,1.5,0.5,0.375,0.25,0.1765,85
12,14,Aaron,Ramsdale,Arsenal,GK,45,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,45
13,15,David,Raya,Arsenal,GK,55,8,8,8,0,0.47,25,0,0,1,8,0,28,0,90,0,0,3,0,0,0,0,28,0,0,2.8,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,4,1.3333,1,0.6667,0.4706,55
14,16,Declan,Rice,Arsenal,MID,65,3,3,3,0.15,0.34,6.1,0,0,1,3,0,9,0,84,0,0,0,0,0,0,0,6.6,13.4,8,2.8,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,1.5,0.5,0.375,0.25,0.1765,65
15,17,Bukayo,Saka,Arsenal,MID,100,12,12,12,0.82,0.36,33.6,1,1,1,12,0,42,0,79,0,0,0,0,0,0,0,64.2,61.7,78,20.4,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,6,2,1.5,1,0.7059,100
16,18,William,Saliba,Arsenal,DEF,60,6,6,6,0,0.47,39.8,0,0,1,6,0,26,0,90,0,0,0,0,0,0,0,14.8,0.9,0,1.6,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,3,1,0.75,0.5,0.3529,60
17,21,Kieran,Tierney,Arsenal,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,45
18,23,Leandro,Trossard,Arsenal,MID,70,1,1,1,0,1.35,1.9,0,0,0,1,0,2,0,10,0,0,0,0,0,0,0,4.2,0.3,0,0.5,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0.5,0.1667,0.125,0.0833,0.0588,70
19,24,Benjamin,White,Arsenal,DEF,65,6,6,6,0.13,0.47,10.2,0,0,1,6,0,22,0,90,0,0,0,0,0,0,0,5.8,1.3,8,1.5,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,3,1,0.75,0.5,0.3529,65
20,25,Oleksandr,Zinchenko,Arsenal,DEF,50,6,6,6,0.05,0.42,3.2,0,0,1,6,0,22,0,68,0,0,0,0,0,0,0,7.2,4.9,6,1.8,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,3,1,0.75,0.5,0.3529,50
21,578,Riccardo,Calafiori,Arsenal,DEF,60,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,60
22,597,Myles,Lewis-Skelly,Arsenal,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,45
23,3,Gabriel,Gabriel,Arsenal,DEF,60,6,6,6,0.14,0.47,13.2,0,0,1,6,0,22,0,90,0,0,0,0,0,0,0,13.8,1.4,8,2.3,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,3,1,0.75,0.5,0.3529,60
24,20,Thomas,Partey,Arsenal,MID,50,3,3,3,0.12,0.47,0.1,0,0,1,3,0,16,0,90,0,0,0,0,0,0,0,14.4,43.6,1,5.9,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,1.5,0.5,0.375,0.25,0.1765,50
25,22,Tomiyasu,Tomiyasu,Arsenal,DEF,50,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,50
26,28,Leon,Bailey,Aston Villa,MID,65,1,1,1,0.52,1.71,3.4,0,0,0,1,0,1,1,73,0,0,0,0,0,0,0,0,30.5,13,4.2,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0.5,0.1429,0.1111,0.0909,0.0769,65
27,29,Ross,Barkley,Aston Villa,MID,55,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,55
28,30,Enzo,Barrenechea,Aston Villa,MID,50,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,50
29,31,Emiliano,Buendia,Aston Villa,MID,55,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,55
30,32,Matty,Cash,Aston Villa,DEF,45,2,2,2,0.01,1.57,3.3,0,0,0,2,0,7,1,81,0,0,0,0,0,0,0,9,12.4,2,2.3,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,45
31,33,Leander,Dendoncker,Aston Villa,MID,45,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,45
32,34,Moussa,Diaby,Aston Villa,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,65
33,35,Diego,Carlos,Aston Villa,DEF,45,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,45
34,36,Lucas,Digne,Aston Villa,DEF,45,2,2,2,0.16,1.71,2.3,0,0,0,2,0,14,1,73,0,0,0,0,0,0,0,14.4,19.2,0,3.4,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,45
35,37,Lewis,Dobbin,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,50
36,38,Jhon,Duran,Aston Villa,FWD,60,6,6,6,1.22,3.76,0.6,1,0,0,6,0,30,0,28,0,0,0,0,0,0,0,34.4,2.1,23,6,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,3,0.8571,0.6667,0.5455,0.4615,60
37,39,Joe,Gauci,Aston Villa,GK,40,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
38,40,Kortney,Hause,Aston Villa,DEF,40,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
39,41,Samuel,Iling Jr,Aston Villa,MID,55,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,55
40,42,Boubacar,Kamara,Aston Villa,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,50
41,43,Kaine,Kesler-Hayden,Aston Villa,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
42,44,Ezri,Konsa,Aston Villa,DEF,45,2,2,2,0.08,2.46,12.6,0,0,0,2,0,10,1,90,0,0,0,0,0,0,0,13.4,14.1,7,3.5,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,45
43,45,Ian,Maatsen,Aston Villa,DEF,50,1,1,1,0.22,5.96,3.5,0,0,0,1,0,5,0,16,0,0,0,0,0,0,0,8.8,10.5,0,1.9,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0.5,0.1429,0.1111,0.0909,0.0769,50
44,46,Filip,Marschall,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
45,47,Emiliano,Martinez,Aston Villa,GK,50,3,3,3,0,2.46,12.7,0,0,0,3,0,11,1,90,0,0,3,0,0,0,0,25.8,0,0,2.6,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1.5,0.4286,0.3333,0.2727,0.2308,50
46,48,John,McGinn,Aston Villa,MID,55,2,2,2,0.45,1.89,2.1,0,0,0,2,0,6,1,61,0,0,0,0,0,0,0,1.6,2.6,15,1.9,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,55
47,49,Tyrone,Mings,Aston Villa,DEF,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,45
48,50,Kosta,Nedeljkovic,Aston Villa,DEF,40,1,1,1,0,11.7,0.4,0,0,0,1,0,6,0,8,0,0,0,0,0,0,0,4.2,0.3,0,0.5,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0.5,0.1429,0.1111,0.0909,0.0769,40
49,51,Robin,Olsen,Aston Villa,GK,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,45
50,53,Jacob,Ramsey,Aston Villa,MID,55,4,4,4,0.61,3.76,0.3,0,1,0,4,0,18,0,28,0,0,0,0,0,0,0,18.4,12.3,7,3.8,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,2,0.5714,0.4444,0.3636,0.3077,55
51,54,Morgan,Rogers,Aston Villa,MID,50,2,2,2,0.29,2.46,8.7,0,0,0,2,0,14,1,90,0,0,0,0,0,0,0,17.8,23.3,16,5.7,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,50
52,55,Viljami,Sinisalo,Aston Villa,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
53,56,Lino,Sousa,Aston Villa,DEF,40,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
54,57,Youri,Tielemans,Aston Villa,MID,55,7,7,7,0.42,2.46,1,0,1,0,7,0,33,1,90,0,0,0,0,0,0,0,32.4,42.5,4,7.9,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,3.5,1,0.7778,0.6364,0.5385,55
55,58,Ollie,Watkins,Aston Villa,FWD,90,2,2,2,0,1.89,32.4,0,0,0,2,0,3,1,61,0,0,0,0,0,0,0,0,0.2,4,0.3,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,90
56,233,Amadou,Onana,Aston Villa,MID,50,10,10,10,0.56,2.46,2.9,1,0,0,10,0,38,1,90,0,0,0,0,0,0,0,48.2,4.3,33,8.6,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,5,1.4286,1.1111,0.9091,0.7692,50
57,598,Lamare,Bogarde,Aston Villa,DEF,40,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,40
58,52,Pau,Torres,Aston Villa,DEF,45,2,2,2,0.01,2.46,1.4,0,0,0,2,0,17,1,90,0,0,0,0,0,0,0,29.2,1.9,0,3.1,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,1,0.2857,0.2222,0.1818,0.1538,45
59,569,Jaden,Jaden,Aston Villa,MID,55,0,0,0,0.45,5.96,0.1,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,1.5,4,0.5,WHU (A),ARS (H),LEI (A),EVE (H),WOL (H),IPS (A),2,5,2,2,2,2,2,7,9,11,13,0,0,0,0,0,55
60,59,Max,Aarons,Bournemouth,DEF,45,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,45
61,60,Tyler,Adams,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,50
62,61,Jaidon,Anthony,Bournemouth,MID,45,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,45
63,62,David,Brooks,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,50
64,63,Ryan,Christie,Bournemouth,MID,50,1,1,1,0.03,0.93,0.2,0,0,0,1,0,5,0,27,0,0,0,0,0,0,0,3.6,1.1,2,0.7,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0.5,0.2,0.125,0.0909,0.0625,50
65,64,Lewis,Cook,Bournemouth,MID,50,1,1,1,0.23,1.13,0.1,0,0,0,1,0,12,1,83,0,0,0,0,0,0,0,10.8,16,0,2.7,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0.5,0.2,0.125,0.0909,0.0625,50
66,65,Enes ,Unal,Bournemouth,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,55
67,66,Romain,Faivre,Bournemouth,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,50
68,67,Hamed,Traorè,Bournemouth,MID,45,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,45
69,68,James,Hill,Bournemouth,DEF,40,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,40
70,69,Daniel,Jebbison,Bournemouth,FWD,45,1,1,1,0,1.2,2.1,0,0,0,1,0,4,0,21,0,0,0,0,0,0,0,3.2,10.6,2,1.6,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0.5,0.2,0.125,0.0909,0.0625,45
71,70,Milos,Kerkez,Bournemouth,DEF,45,1,1,1,0.01,1.3,0.4,0,0,0,1,0,5,1,90,0,0,0,0,0,0,0,12,12.7,2,2.7,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0.5,0.2,0.125,0.0909,0.0625,45
72,71,Justin,Kluivert,Bournemouth,MID,55,0,0,0,0.07,0.97,0.4,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1.8,6.7,6,1.5,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,55
73,72,Chris,Mepham,Bournemouth,DEF,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,45
74,73,Norberto,Neto,Bournemouth,GK,45,4,4,4,0,1.3,2.4,0,0,0,4,0,17,1,90,0,0,7,0,0,0,0,47,0,0,4.7,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,2,0.8,0.5,0.3636,0.25,45
75,75,Alex,Paulsen,Bournemouth,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,40
76,77,Alex,Scott,Bournemouth,MID,50,2,2,2,0.01,1.48,0.1,0,0,0,2,0,11,1,62,0,0,0,0,0,0,0,22.8,12.8,0,3.6,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,1,0.4,0.25,0.1818,0.125,50
77,78,Antoine,Semenyo,Bournemouth,MID,55,8,8,8,0.48,1.3,1.5,1,0,0,8,0,25,1,90,0,0,0,0,0,0,0,39,6.7,53,9.9,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,4,1.6,1,0.7273,0.5,55
78,79,Marcos,Senesi,Bournemouth,DEF,50,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,50
79,80,Luis,Sinisterra,Bournemouth,MID,50,2,2,2,0.24,1.46,0.2,0,0,0,2,0,7,1,63,0,0,0,0,0,0,0,7,1.8,23,3.2,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,1,0.4,0.25,0.1818,0.125,50
80,81,Adam,Smith,Bournemouth,DEF,45,2,2,2,0.01,1.48,0.2,0,0,0,2,0,8,1,62,0,0,0,0,0,0,0,7.8,4.5,0,1.2,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,1,0.4,0.25,0.1818,0.125,45
81,83,Marcus,Tavernier,Bournemouth,MID,55,2,2,2,0.54,1.3,0.2,0,0,0,2,0,14,1,90,0,0,0,0,0,0,0,10.2,41.4,27,7.9,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,1,0.4,0.25,0.1818,0.125,55
82,84,Mark,Travers,Bournemouth,GK,45,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,0,0,0,0,0,45
83,85,Illia,Zabarnyi,Bournemouth,DEF,45,2,2,2,0.02,1.3,0.4,0,0,0,2,0,9,1,90,0,0,0,0,0,0,0,15.6,1.1,0,1.7,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,1,0.4,0.25,0.1818,0.125,45
84,580,Dean,Huijsen,Bournemouth,DEF,45,2,2,2,0.01,1.3,0.1,0,0,0,2,0,9,1,90,0,0,0,0,0,0,0,24.8,0.4,0,2.5,NFO (A),NEW (H),EVE (A),CHE (H),LIV (A),SOU (H),2,3,3,3,5,2,2,5,8,11,16,1,0.4,0.25,0.1818,0.125,45
