,Opponent,Difficulty,xG_std,xG,Position
4,BHA (H),4,0.25,1.3,MID
2,BOU (H),5,0.228,1.267,MID
19,WOL (H),5,0.114,1.1,MID
8,FUL (H),5,0.091,1.067,MID
17,TOT (H),5,0.0,0.933,MID
16,SOU (A),1,1.0,3.225,FWD
10,LEI (A),1,0.737,2.5,FWD
18,WHU (A),1,0.616,2.167,FWD
19,WOL (A),1,0.556,2.0,FWD
12,MCI (A),2,0.495,1.833,FWD
3,BRE (A),2,0.423,1.633,FWD
4,BHA (A),2,0.375,1.5,FWD
5,CHE (A),2,0.35,1.433,FWD
9,IPS (A),3,0.347,1.425,FWD
17,TOT (A),3,0.347,1.425,FWD
14,NEW (A),3,0.284,1.25,FWD
13,MUN (A),4,0.175,0.95,FWD
15,NFO (A),4,0.175,0.95,FWD
11,LIV (A),4,0.166,0.925,FWD
1,AVL (A),4,0.157,0.9,FWD
8,FUL (A),4,0.148,0.875,FWD
6,CRY (A),5,0.145,0.867,FWD
2,BOU (A),5,0.112,0.775,FWD
7,EVE (A),5,0.048,0.6,FWD
0,ARS (A),5,0.0,0.467,FWD
9,IPS (H),1,1.0,2.4,FWD
13,MUN (H),1,0.705,1.967,FWD
18,WHU (H),1,0.693,1.95,FWD
16,SOU (H),1,0.682,1.933,FWD
1,AVL (H),2,0.676,1.925,FWD
5,CHE (H),2,0.523,1.7,FWD
12,MCI (H),2,0.506,1.675,FWD
6,CRY (H),2,0.506,1.675,FWD
11,LIV (H),3,0.432,1.567,FWD
10,LEI (H),3,0.421,1.55,FWD
3,BRE (H),3,0.421,1.55,FWD
15,NFO (H),3,0.296,1.367,FWD
0,ARS (H),4,0.284,1.35,FWD
14,NEW (H),4,0.25,1.3,FWD
7,EVE (H),4,0.25,1.3,FWD
4,BHA (H),4,0.25,1.3,FWD
2,BOU (H),5,0.228,1.267,FWD
19,WOL (H),5,0.114,1.1,FWD
8,FUL (H),5,0.091,1.067,FWD
17,TOT (H),5,0.0,0.933,FWD
